40000162449                     0             LSYHKAAA8AK008704376560         ITopicAzulEscolar16L-4P-Longa-GNV-                                               2012022020110223	AR                                                                                                      
40000162449                     0             LSYHDAAB8BK148515158776         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB0BK148542159820         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB6BK148528159817         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB8BK148529159817         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB4BK148530159813         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB1BK148520159816         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB5BK148519159816         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHDAAB6BK148531159813         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012030320110303	465212
40000162449                     0             LSYHDAAB7BK148523159815         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012031020110310	465212
40000162449                     0             LSYHDAAB8BK148532159813         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012031020110315	465212
40000162449                     0             LSYHDAAB1BK148534159813         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012031020110315	465212
40000162449                     0             LSYHDAAB3BK148535159813         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012031020110315	465212
40000162449                     0             LSYHDAABXBK148533159813         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012031020110316	465212
40000162449                     0             LSYHDAAB5BK148536159814         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110321	465212
40000162449                     0             LSYHDAAB7BK148537159814         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110321	465212
40000162449                     0             LSYHDAAB9BK148541159820         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110323	465212
40000162449                     0             LSYHDAAB0BK148525159819         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110324	465212
40000162449                     0             LSYHDAAB2BK148543159819         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110324	465212
40000162449                     0             LSYHDAAB7BK148540159820         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110328	465212
40000162449                     0             LSYHDAAB3BK148521159815         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110328	465212
40000162449                     0             LSYHDAAB5BK148522159815         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110328	465212
40000162449                     0             LSYHDAAB3BK148518159816         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110328	465212
40000162449                     0             LSYHDAAB9BK148524159815         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110328	465212
40000162449                     0             LSYHDAAB7BK148506160674         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110328	465212
40000162449                     0             LSYHDAAB4BK148544160674         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110328	465212
40000162449                     0             LSYHDAAB2BK148560160677         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110329	465212
40000162449                     0             LSYHDAAB5BK148553160676         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110329	465212
40000162449                     0             LSYHDAAB1BK148548160675         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110329	465212
40000162449                     0             LSYHDAAB3BK148552160675         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012033020110331	465212
40000162449                     0             LSYHDAAB6BK148545160674         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012033020110331	465212
40000162449                     0             LSYHDAAB8BK148546160674         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012033020110331	465212
40000162449                     0             LSYHDAAB7BK148554160676         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012033020110331	465212
40000162449                     0             LSYHDAAB4BK148558160677         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012033020110331	465212
40000162449                     0             LSYHDAAB9BK148555160677         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012033020110331	465212
